Row ID,Order Date,Sales,Profit,Customer Name,Zip Code,Product Category
1,10/13/2010,261.54,-213.25,Muhammed MacIntyre,60035,Office Supplies
2,2/20/2012,6.93,-4.64,Ruben Dartt,98026,Office Supplies
3,7/15/2011,2808.08,1054.82,Liz Pelletier,98387,Furniture
4,7/15/2011,1761.40,-1748.56,Liz Pelletier,98387,Furniture
5,7/15/2011,160.23,-85.13,Liz Pelletier,98387,Technology
6,7/15/2011,140.56,-128.38,Liz Pelletier,27260,Technology
7,10/22/2011,288.56,60.72,Julie Creighton,50010,Office Supplies
8,10/22/2011,1892.85,48.99,Julie Creighton,50010,Technology
9,11/2/2011,2484.75,657.48,Sample Company A,97321,Technology
10,3/17/2011,3812.73,1470.30,Tamara Dahlen,78660,Technology
11,1/19/2009,108.15,7.57,Arthur Gainer,87505,Office Supplies
12,6/3/2009,1186.06,511.69,Jonathan Doherty,27529,Furniture
13,6/3/2009,51.53,0.35,Jonathan Doherty,27529,Office Supplies
14,12/17/2010,90.05,-107.00,Helen Wasserman,11554,Office Supplies
15,12/17/2010,7804.53,2057.17,Helen Wasserman,11554,Technology
16,4/16/2009,4158.12,1228.89,Keith Dawkins,72209,Technology
17,1/28/2010,75.57,28.24,Craig Yedwab,86314,Office Supplies
18,11/18/2012,32.72,-22.59,Pauline Chand,73160,Office Supplies
19,5/7/2012,461.89,-309.82,Roy Collins,37311,Technology
20,5/7/2012,575.11,71.75,Roy Collins,37311,Office Supplies
21,5/7/2012,236.46,-134.31,Roy Collins,37311,Office Supplies
22,6/10/2010,192.81,-86.20,Emily Phan,07001,Technology
23,6/10/2010,4011.65,-603.80,Emily Phan,04240,Furniture
24,4/30/2012,1132.60,-310.21,Michael Dominguez,53005,Office Supplies
25,10/20/2011,125.85,-89.25,Anne Pryor,12180,Technology
26,9/11/2011,567.94,-126.09,Valerie Takahito,33319,Technology
27,8/7/2010,174.89,-37.04,Justin Hirsh,11714,Office Supplies
28,4/4/2012,329.03,-197.25,Maria Zettner,97068,Furniture
29,4/4/2012,20.19,-13.44,Maria Zettner,97068,Office Supplies
